method,imp_id,syn_id,variable,cosine,js,wasserstein
ecdf,1.0,9.0,dbp_bin1,0.22389580698415146,0.06295729553335815,0.003915498087779993
ecdf,1.0,9.0,dbp_bin2,0.10897851866246488,0.03435980340372415,0.021716752667103073
ecdf,1.0,9.0,dbp_bin3,0.027404058599032277,0.03441650813651967,0.060938250529404256
ecdf,1.0,9.0,dbp_bin4,0.10383960352048238,0.03209980401263578,0.0039401718941846145
ecdf,1.0,9.0,dbp_bin5,0.08942394066966797,0.015433035537666992,0.002592563793527985
ecdf,1.0,9.0,dbp_bin6,0.08143284877993995,0.027130096537230974,0.002311504122346108
ecdf,1.0,9.0,dbp_bin7,0.07868375000999195,0.03177411222806931,0.0024999542300580347
ecdf,1.0,9.0,dbp_bin8,0.06189678534652099,0.02309015683188264,0.003615730922349968
ecdf,1.0,9.0,dbp_bin9,0.08223002497783527,0.02772017080217352,0.03734810620623798
ecdf,1.0,9.0,dbp_bin10,0.09193429348219195,0.03885322341521057,0.002698546297162226
ecdf,1.0,10.0,sbp_bin1,0.25853479399489376,0.03864904824665595,0.00300972775347654
ecdf,1.0,10.0,sbp_bin2,0.15926755397970493,0.03513255107068819,0.0029537134546913373
ecdf,1.0,10.0,sbp_bin3,0.1171241671923281,0.02986622701184497,0.0034617055378301084
ecdf,1.0,10.0,sbp_bin4,0.13823601378505102,0.03676035470498373,0.0035241854094579055
ecdf,1.0,10.0,sbp_bin5,0.10433808938045708,0.03036059902553376,0.008940775679529979
ecdf,1.0,10.0,sbp_bin6,0.077130677671853,0.03445246521536521,0.004764614824257874
ecdf,1.0,10.0,sbp_bin7,0.07060815686797284,0.03397548679252272,0.0025761852728707554
ecdf,1.0,10.0,sbp_bin8,0.1146551977640814,0.017664184085733795,0.0018267161321775579
ecdf,1.0,10.0,sbp_bin9,0.11619454359957015,0.02280893672477442,0.01718085204898221
ecdf,1.0,10.0,sbp_bin10,0.08954606571525892,0.021024899935704038,0.0030938326887848602
ecdf,1.0,10.0,dbp_bin1,0.23040005795772978,0.06278348548921044,0.0030959752321981365
ecdf,1.0,10.0,dbp_bin2,0.10405264561124494,0.03472156394429179,0.002807873390436206
ecdf,1.0,10.0,dbp_bin3,0.026564935295213754,0.03181878235607186,0.09412559069887243
ecdf,1.0,10.0,dbp_bin4,0.10367334161211517,0.031679448169908773,0.002491907578970864
ecdf,1.0,10.0,dbp_bin5,0.09294959042534146,0.015860993014336182,0.0015519095939763906
ecdf,1.0,10.0,dbp_bin6,0.08454126690209851,0.027666564171968264,0.0037511213635781126
ecdf,1.0,10.0,dbp_bin7,0.08297866646864782,0.03278757538077515,0.0021850570293476855
ecdf,1.0,10.0,dbp_bin8,0.07527993512332742,0.02238034405195783,0.05380920227620107
ecdf,1.0,10.0,dbp_bin9,0.08032663743110036,0.024725856489665316,0.00472614699474561
ecdf,1.0,10.0,dbp_bin10,0.09110848657344661,0.03791763733324172,0.0045606159793011025
ecdf,2.0,1.0,sbp_bin1,0.2928929581970928,0.04574330293314489,0.006646210093360313
ecdf,2.0,1.0,sbp_bin2,0.14457152177920418,0.03343949486135294,0.01235246919589179
ecdf,2.0,1.0,sbp_bin3,0.028423852900353763,0.03411591533485825,0.007947933571198476
ecdf,2.0,1.0,sbp_bin4,0.10855777480576245,0.03630563689572147,0.09743320509318323
ecdf,2.0,1.0,sbp_bin5,0.09771132824885131,0.031706649549108214,0.03174247577361755
ecdf,2.0,1.0,sbp_bin6,0.07798648862444957,0.034799521026753044,0.002935105930917255
